1 1 1 1 1 1 -1 -1 1 1 1 1 1 1 -1 -1 5 5 5 5 
1 -1 -1 1 1 2 2 1 1 1 1 1 1 1 4 5 6 -1 1 1 
-1 1 -1 1 1 2 2 2 1 1 1 1 -1 -1 -1 6 1 1 1 1 
1 -1 -1 1 1 1 2 2 2 1 1 1 1 -1 -1 6 6 -1 -1 1 
1 1 -1 1 1 2 2 2 2 1 1 1 1 1 -1 -1 -1 6 1 1 
-1 2 2 1 1 1 2 1 2 1 1 1 -1 -1 -1 -1 -1 -1 1 1 
1 2 2 1 1 1 -1 1 1 1 1 -1 1 -1 -1 -1 -1 -1 -1 -1 
1 2 2 2 -1 1 1 1 1 1 1 1 1 1 -1 -1 -1 -1 1 1 
1 -1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 -1 1 1 1 
1 1 2 2 1 1 1 1 1 1 1 1 1 -1 1 1 1 1 -1 -1 
1 1 2 2 -1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 -1 -1 
-1 2 2 2 -1 -1 -1 5 1 1 1 1 -1 1 1 1 -1 1 1 1 
2 2 2 -1 -1 -1 -1 -1 5 1 1 -1 -1 1 1 -1 1 1 1 1 
-1 -1 2 2 -1 1 1 1 -1 1 -1 1 1 1 1 1 1 -1 1 -1 
-1 -1 -1 -1 1 1 1 1 -1 1 -1 1 1 -1 1 1 1 1 1 1 
-1 -1 -1 1 -1 -1 -1 1 1 1 1 1 -1 1 1 1 -1 1 1 1 
1 -1 1 1 1 1 -1 1 -1 1 -1 -1 -1 -1 1 1 1 -1 1 1 
1 -1 -1 1 1 1 1 1 -1 -1 1 1 -1 1 -1 -1 1 1 1 1 
1 1 -1 -1 1 1 1 1 -1 -1 -1 1 1 1 1 1 -1 1 1 1 
1 -1 -1 -1 1 1 1 1 -1 1 1 1 1 1 -1 -1 1 1 1 1 
-1 -1 -1 -1 -1 1 1 -1 1 1 1 1 1 1 1 -1 1 1 1 1 
1 1 -1 1 1 -1 -1 1 -1 1 1 -1 1 -1 1 1 1 1 1 1 
1 -1 1 1 -1 -1 1 1 1 -1 1 1 1 -1 -1 1 1 1 1 1 
