-1 -1 -1 2 1 1 1 -1 1 -1 -1 -1 -1 1 1 1 1 1 -1 -1 
-1 1 1 -1 -1 1 -1 -1 2 -1 -1 -1 1 1 1 1 1 1 -1 -1 
-1 1 1 -1 -1 -1 1 2 2 -1 -1 -1 -1 1 -1 -1 1 1 -1 1 
1 -1 -1 -1 -1 -1 -1 -1 2 -1 -1 -1 -1 -1 1 -1 -1 1 1 1 
-1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 1 1 -1 
-1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 
-1 -1 -1 -1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 1 1 1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 2 1 1 2 
-1 -1 -1 -1 -1 -1 -1 -1 -1 1 1 -1 -1 -1 -1 2 -1 2 2 2 
-1 -1 -1 -1 -1 -1 -1 -1 1 1 1 -1 -1 -1 -1 -1 -1 -1 2 -1 
-1 -1 -1 1 -1 1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
1 -1 1 1 1 1 1 -1 8 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 
1 1 -1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 1 -1 -1 1 
1 -1 -1 -1 1 -1 1 -1 1 -1 -1 -1 -1 -1 1 1 1 -1 -1 1 
-1 -1 -1 -1 -1 -1 -1 1 1 1 -1 -1 -1 -1 1 1 1 -1 -1 -1 
-1 -1 -1 1 -1 -1 1 1 1 -1 -1 -1 -1 1 1 1 -1 -1 -1 -1 
-1 -1 1 1 -1 1 1 1 -1 -1 -1 -1 -1 1 1 1 1 1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 
1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 
-1 1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 1 -1 8 -1 -1 -1 -1 -1 
-1 -1 -1 8 -1 8 8 -1 -1 1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 
-1 -1 8 8 8 -1 8 8 8 1 -1 1 1 -1 1 -1 -1 -1 -1 -1 
-1 8 8 8 8 8 8 8 8 1 1 1 1 -1 1 -1 -1 -1 -1 -1 
1 -1 8 8 1 8 8 8 -1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 
1 1 -1 8 1 8 8 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 
1 -1 8 8 8 8 8 -1 1 8 8 -1 -1 -1 -1 -1 -1 -1 1 -1 
-1 -1 -1 -1 8 8 -1 1 1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 1 
1 -1 -1 8 -1 -1 3 3 1 1 1 1 -1 -1 -1 -1 -1 -1 1 1 
-1 -1 -1 -1 -1 -1 3 3 -1 -1 -1 1 -1 1 -1 -1 -1 -1 1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 3 -1 1 1 1 -1 1 8 8 1 1 -1 
-1 -1 -1 -1 -1 -1 -1 1 -1 -1 1 -1 1 1 -1 -1 8 -1 -1 -1 
-1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 
1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 8 -1 -1 -1 -1 -1 -1 
-1 1 -1 8 -1 -1 -1 -1 -1 -1 1 -1 1 8 8 8 -1 -1 -1 -1 
-1 8 -1 8 8 8 1 -1 1 -1 -1 1 8 8 8 8 8 -1 -1 -1 
8 8 8 8 8 8 8 1 -1 -1 -1 -1 -1 -1 8 8 8 8 -1 -1 
8 -1 -1 -1 8 1 -1 -1 -1 -1 -1 -1 -1 -1 1 8 8 8 -1 -1 
-1 1 -1 -1 -1 1 -1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 1 -1 
-1 1 1 -1 -1 1 -1 -1 -1 -1 1 -1 1 -1 -1 1 -1 -1 -1 1 
1 1 1 -1 1 1 -1 -1 1 1 1 -1 -1 -1 1 -1 -1 -1 1 -1 
1 1 1 1 1 1 -1 -1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 1 
1 1 1 1 1 1 1 1 -1 -1 1 1 1 1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
-1 -1 1 -1 1 -1 1 1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 1 1 1 -1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 2 2 
2 -1 -1 1 -1 1 1 -1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 2 
-1 -1 -1 -1 -1 -1 -1 -1 1 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
